,Poem Title,line
191,LEMUEL KAYHART,Is stricken in death:—
192,LEMUEL KAYHART,"Oh! lay me ’neath the turf,"
193,LEMUEL KAYHART,"All quiet and still,"
194,LEMUEL KAYHART,In the green shady woods
195,LEMUEL KAYHART,On the slope of the hill.
196,LEMUEL KAYHART,
197,LEMUEL KAYHART,And there though my body
198,LEMUEL KAYHART,"Lies wrapped in green sod,"
199,LEMUEL KAYHART,My spirit will go
200,LEMUEL KAYHART,To the keeping of God;
201,LEMUEL KAYHART,Till Gabriel’s last trumpet
202,LEMUEL KAYHART,"Shall blow loud and shrill,"
203,LEMUEL KAYHART,May I sleep ’neath the woods
204,LEMUEL KAYHART,On the slope of the hill.
205,LEMUEL KAYHART,
206,LEMUEL KAYHART,
207,LEMUEL KAYHART,
208,LEMUEL KAYHART,
209,TOAST[1],TOAST[1]
210,TOAST[1],
211,TOAST[1],
212,LEMUEL KAYHART,LEMUEL KAYHART
213,LEMUEL KAYHART,
214,LEMUEL KAYHART,"Here’s to the ladies, more precious than gold,"
215,LEMUEL KAYHART,"Here’s to the modest and likewise the bold,"
216,LEMUEL KAYHART,"Here’s to the aged, old grandmother, dear,"
217,LEMUEL KAYHART,Here’s to the maid who’s old and grown queer.
218,LEMUEL KAYHART,
219,LEMUEL KAYHART,"Here’s to the maiden who’s happy and gay,"
220,LEMUEL KAYHART,"Here’s to the girl who will dance night and day,"
221,LEMUEL KAYHART,"Here’s to the maid with a bosom of ice,"
222,LEMUEL KAYHART,Here’s to the girl who will kiss a man twice.
223,LEMUEL KAYHART,
224,LEMUEL KAYHART,"Here’s to the brunette, the freckled and fair,"
225,LEMUEL KAYHART,"Here’s to the blonde with blue eyes and white hair,"
226,LEMUEL KAYHART,"Here’s to the maid with complexion like snow,"
227,LEMUEL KAYHART,Here’s to old Dinah as black as a crow.
228,LEMUEL KAYHART,
229,LEMUEL KAYHART,"Here’s to the lady and here’s to the lass,"
230,LEMUEL KAYHART,"Here’s to the lady who’s greener than grass,"
231,LEMUEL KAYHART,"Here’s to the sweetheart, and here’s to the beau,"
232,LEMUEL KAYHART,"Here’s to the lad who can reap, plough or sow."
233,LEMUEL KAYHART,
234,LEMUEL KAYHART,"Here’s to the maiden who’s rosy and fat,"
235,LEMUEL KAYHART,"Here’s to the miser, more like a starved cat,"
236,LEMUEL KAYHART,"Here’s to the lean, stout, long, slim and tall,"
237,LEMUEL KAYHART,"God bless their dear hearts, we’ll toast to them all."
238,LEMUEL KAYHART,
239,LEMUEL KAYHART,"Here’s to the maiden who’s dimples we prize,"
240,LEMUEL KAYHART,"Here’s to the girl with a pair of black eyes,"
241,LEMUEL KAYHART,"Here’s to the housewife all cumbered with care,"
242,LEMUEL KAYHART,Here’s to the girl with the bonny red hair.
243,LEMUEL KAYHART,
244,LEMUEL KAYHART,"Here’s to the servant and here’s to the king,"
245,LEMUEL KAYHART,"Here’s to the ladies that happiness bring,"
246,LEMUEL KAYHART,"Here’s to the dandy and here’s to the queen,"
247,LEMUEL KAYHART,"I’ll toast to you all, I’ll not go it mean."
248,LEMUEL KAYHART,
249,LEMUEL KAYHART,"Here’s to the aged and here’s to the young,"
250,LEMUEL KAYHART,"Here’s to the maid with a little short tongue,"
251,LEMUEL KAYHART,"Here’s to the gossip though feeble and frail,"
252,LEMUEL KAYHART,Tongue on a swizel and long as a rail.
253,LEMUEL KAYHART,
254,LEMUEL KAYHART,"Here’s to the widow and here’s to the maid,"
255,LEMUEL KAYHART,"Here’s to the woman of work not afraid,"
256,LEMUEL KAYHART,"Here’s to the girl who can laugh, sing or sigh,"
257,LEMUEL KAYHART,Here’s to the maid with false teeth and one eye.
258,LEMUEL KAYHART,
259,LEMUEL KAYHART,"Here’s to the lady who’s over-refined,"
260,LEMUEL KAYHART,"All banged in the head and bustle behind,"
261,LEMUEL KAYHART,"God bless them, we love them, they’re handsome and fair,"
262,LEMUEL KAYHART,Even when made up with cotton and hair.
263,LEMUEL KAYHART,
264,LEMUEL KAYHART,"Here’s to the mother of one little boy,"
265,LEMUEL KAYHART,"Here’s to his papa who’s filled full of joy,"
266,LEMUEL KAYHART,"Here’s to the man who’s nary a son,"
267,LEMUEL KAYHART,Here’s to the father of twenty and one.
268,LEMUEL KAYHART,
269,LEMUEL KAYHART,"Here’s to the babies, the sweet little dears,"
