,Poem Title,line
311,CANTO II,"Down from my blessed seat, trusting the force"
312,CANTO II,"Of thy pure eloquence, which thee, and all"
313,CANTO II,"Who well have mark'd it, into honour brings."""
314,CANTO II,
315,CANTO II,"""When she had ended, her bright beaming eyes"
316,CANTO II,Tearful she turn'd aside; whereat I felt
317,CANTO II,"Redoubled zeal to serve thee.  As she will'd,"
318,CANTO II,"Thus am I come: I sav'd thee from the beast,"
319,CANTO II,Who thy near way across the goodly mount
320,CANTO II,Prevented.  What is this comes o'er thee then?
321,CANTO II,"Why, why dost thou hang back?  why in thy breast"
322,CANTO II,Harbour vile fear?  why hast not courage there
323,CANTO II,And noble daring?  Since three maids so blest
324,CANTO II,"Thy safety plan, e'en in the court of heaven;"
325,CANTO II,"And so much certain good my words forebode."""
326,CANTO II,
327,CANTO II,"As florets, by the frosty air of night"
328,CANTO II,"Bent down and clos'd, when day has blanch'd their leaves,"
329,CANTO II,Rise all unfolded on their spiry stems;
330,CANTO II,"So was my fainting vigour new restor'd,"
331,CANTO II,"And to my heart such kindly courage ran,"
332,CANTO II,That I as one undaunted soon replied:
333,CANTO II,"""O full of pity she, who undertook"
334,CANTO II,My succour! and thou kind who didst perform
335,CANTO II,So soon her true behest!  With such desire
336,CANTO II,"Thou hast dispos'd me to renew my voyage,"
337,CANTO II,That my first purpose fully is resum'd.
338,CANTO II,Lead on: one only will is in us both.
339,CANTO II,"Thou art my guide, my master thou, and lord."""
340,CANTO II,
341,CANTO II,"So spake I; and when he had onward mov'd,"
342,CANTO II,I enter'd on the deep and woody way.
343,CANTO II,
344,CANTO II,
345,CANTO II,
346,CANTO II,
347,CANTO II,
348,CANTO II,"End of Project Gutenberg's The Vision of Hell, Part 1, by Dante Alighieri"
349,CANTO II,Illustrated by Gustave Dore
350,CANTO II,
351,CANTO II,
352,CANTO II,
