,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
4661,PG71833,Rautalammin runoniekan Albert Kukkosen runoja,"Kukkonen, Albert",1835.0,1918.0,['fi'],14,'Finnish poetry',Text,'Finnish poetry'
4663,PG71875,Kuvastin : $b Runoja,"Suoranta, Katri",1899.0,1985.0,['fi'],21,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4666,PG71963,Saksanmaa : $b Talvinen tarina,"Heine, Heinrich",1797.0,1856.0,['fi'],23,'German poetry -- Translations into Finnish',Text,'German poetry -- Translations into Finnish'
4667,PG71967,Satu sydämestä ja auringosta,"Vaara, Elina",1903.0,1980.0,['fi'],28,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4668,PG71994,Lauluja,"Rytkönen, Antti",1870.0,1930.0,['fi'],22,'Finnish poetry -- 19th century',Text,'Finnish poetry -- 19th century'
4673,PG72218,Abraham Poppius : $b elämäkerta ja runot,"Bergholm, A. H.",1876.0,1949.0,['fi'],16,"'Finnish poetry -- 19th century', 'Poppius, Abraham, 1793-1866'",Text,'Finnish poetry -- 19th century'
4674,PG72259,Laulu vaakalinnusta : $b Runoja,"Haavio, Martti",1899.0,1973.0,['fi'],36,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4679,PG72400,Syksyisiä säveliä : $b Runoja,"Walakorpi, Urho Wiljo",1886.0,1957.0,['fi'],15,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4680,PG72404,Köynnöksiä : $b Kimppunen runoelmia,"Laine, Juho",1856.0,1937.0,['fi'],20,'Finnish poetry -- 19th century',Text,'Finnish poetry -- 19th century'
4682,PG72449,Valikoima runoelmia,"Wecksell, J. J. (Josef Julius)",1838.0,1907.0,['fi'],19,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
4688,PG72484,Itämaalaisia haaveiluja,"Hedman, Valfrid",1872.0,1939.0,['fi'],24,'Finnish poetry',Text,'Finnish poetry'
4691,PG72568,Viljan valtakunta,"Hemmer, Jarl",1893.0,1944.0,['fi'],24,'Swedish poetry -- Translations into Finnish',Text,'Swedish poetry -- Translations into Finnish'
4692,PG72579,Alakuloinen meri : $b Runoja,"Kaari, Anna",1903.0,1987.0,['fi'],25,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4697,PG72691,Lauluja ja ballaadeja,"Kallas, Aino",1878.0,1956.0,['fi'],47,'Finnish poetry -- 19th century',Text,'Finnish poetry -- 19th century'
4702,PG72703,Lemmen lauluja : $b Valikoima,"Leino, Eino",1878.0,1926.0,['fi'],36,'Finnish poetry',Text,'Finnish poetry'
4703,PG72725,Kansa ja kannel : $b Runoja,"Soini, Lauri",1875.0,1919.0,['fi'],25,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4709,PG72749,Hopeaviulu : $b Runoja,"Vaara, Elina",1903.0,1980.0,['fi'],27,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4714,PG72763,Tuulikannel : $b Mieterunoja. I,"Leino, Eino",1878.0,1926.0,['fi'],40,'Finnish poetry',Text,'Finnish poetry'
4715,PG72783,Tuulikannel : $b Mieterunoja. II,"Leino, Eino",1878.0,1926.0,['fi'],39,'Finnish poetry',Text,'Finnish poetry'
4719,PG72809,Merentakaisia lauluja : $b Katsaus virolaiseen laulurunouteen ja valikoima runokäännöksiä,,,,['fi'],54,'Estonian poetry -- Translations into Finnish',Text,'Estonian poetry -- Translations into Finnish'
4721,PG72833,Suomen Kansan Vanhoja Runoja ynnä myös Nykyisempiä Lauluja 2,,,,['fi'],36,'Finnish poetry',Text,'Finnish poetry'
4722,PG72841,Suomen Kansan Vanhoja Runoja ynnä myös Nykyisempiä Lauluja 3,,,,['fi'],25,'Finnish poetry',Text,'Finnish poetry'
4724,PG72887,Näkinkenkä : $b Runoja,"Pimiä, Ilmari",1897.0,1989.0,['fi'],41,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4725,PG72899,Paljain jaloin : $b Runoja,"Kailas, Uuno",1901.0,1933.0,['fi'],48,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4727,PG72965,Wähänen Laulu-kirja,,,,['fi'],58,'Finnish poetry -- 19th century',Text,'Finnish poetry -- 19th century'
4728,PG72976,Suomen Kansan Vanhoja Runoja ynnä myös Nykyisempiä Lauluja 4,,,,['fi'],64,'Finnish poetry',Text,'Finnish poetry'
4731,PG73006,Suomen Kansan Vanhoja Runoja ynnä myös Nykyisempiä Lauluja 5,,,,['fi'],69,'Finnish poetry',Text,'Finnish poetry'
4735,PG73113,Huilunsoittaja : $b Runoja,"Vuorela, Einari",1889.0,1972.0,['fi'],257,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4740,PG73239,Hurmioituneet kasvot : $b Runoja,"Jylhä, Yrjö",1903.0,1956.0,['fi'],90,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4742,PG73277,Ruoskanjäljet : $b Runoja,"Jylhä, Yrjö",1903.0,1956.0,['fi'],67,'Finnish poetry -- 20th century',Text,'Finnish poetry -- 20th century'
4815,PG8431,Liesilauluja,"Onerva, L.",1882.0,1972.0,['fi'],21,'Poetry',Text,'Poetry'
4834,PG8669,Hanna,"Runeberg, Johan Ludvig",1804.0,1877.0,['fi'],29,'Poetry',Text,'Poetry'
