,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
1071,PG24269,The Odyssey of Homer,Homer,-750.0,-650.0,['en'],307,"'Homer -- Translations into English', 'Odysseus, King of Ithaca (Mythological character) -- Poetry', 'Epic poetry, Greek -- Translations into English'",Text,'Epic poetry
1129,PG24856,"Odysseus, the Hero of Ithaca: Adapted from the Third Book of the Primary Schools of Athens, Greece",Homer,-750.0,-650.0,['en'],63,"'Homer -- Translations into English', 'Odysseus, King of Ithaca (Mythological character) -- Juvenile literature', 'Classical poetry -- Translations into English', 'Classical literature', 'Epic poetry, Greek -- Translations into English'",Text,'Epic poetry
1131,PG24869,"The Rámáyan of Válmíki, translated into English verse",Valmiki,,,['en'],6749,"'Rama (Hindu deity) -- Poetry', 'Folklore -- India', 'Epic poetry, Sanskrit -- Translations into English'",Text,'Epic poetry
1182,PG25942,The Translations of Beowulf: A Critical Bibliography,"Tinker, Chauncey Brewster",1876.0,1963.0,['en'],216,"'Epic poetry, English (Old) -- Translations -- Bibliography', 'Heroes in literature -- Bibliography', 'Monsters in literature -- Bibliography', 'Beowulf -- Translations -- Bibliography', 'Dragons in literature -- Bibliography'",Text,'Epic poetry
1216,PG26275,Homer's Odyssey: A Commentary,"Snider, Denton Jaques",1841.0,1925.0,['en'],156,"'Epic poetry, Greek -- History and criticism', 'Odysseus, King of Ithaca (Mythological character) -- In literature', 'Homer. Odyssey'",Text,'Epic poetry
1356,PG28240,"Pan Tadeusz; or, The last foray in Lithuania: a story of life among Polish gentlefolk in the years 1811 and 1812","Mickiewicz, Adam",1798.0,1855.0,['en'],610,"'Epic poetry, Polish -- Adaptations', 'Gentry -- Poland -- Social life and customs -- 19th century -- Fiction', 'Gentry -- Lithuania -- Social life and customs -- 19th century -- Fiction'",Text,'Epic poetry
1363,PG28434,The Astronomy of Milton's 'Paradise Lost',"Orchard, Thomas Nathaniel",,,['en'],95,"'Milton, John, 1608-1674. Paradise lost', 'Astronomy in literature', 'Epic poetry, English -- History and criticism', 'Milton, John, 1608-1674 -- Knowledge -- Astronomy'",Text,'Epic poetry
1380,PG28797,The Odyssey,Homer,-750.0,-650.0,['en'],317,"'Homer -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Odysseus, King of Ithaca (Mythological character)'",Sound,'Epic poetry
1410,PG29358,"The Æneids of Virgil, Done into English Verse",Virgil,-70.0,-19.0,['en'],70,"'Aeneas (Legendary character) -- Poetry', 'Epic poetry, Latin -- Translations into English'",Text,'Epic poetry
1416,PG29574,Seven Minor Epics of the English Renaissance (1596-1624),"Barksted, William, active 1611",,,['en'],59,"'Renaissance -- England', 'Epic poetry, English', 'English poetry -- Early modern, 1500-1700'",Text,'Epic poetry
1471,PG3059,The Iliad,Homer,-750.0,-650.0,['en'],326,"'Trojan War', 'Achilles (Mythological character)', 'Epic poetry, Greek -- Translations into English'",Text,'Epic poetry
1499,PG31303,Euphorion - Vol. I: Being Studies of the Antique and the Mediaeval in the Renaissance,"Lee, Vernon",1856.0,1935.0,['en'],33,"'Boiardo, Matteo Maria, 1440 or 1441-1494', 'English drama -- Early modern and Elizabethan, 1500-1600 -- History and criticism', 'Renaissance -- Italy', 'Civilization, Medieval', 'Epic poetry, Italian -- History and criticism', 'Love'",Text,'Epic poetry
1500,PG31304,Euphorion - Vol. II: Being Studies of the Antique and the Mediaeval in the Renaissance,"Lee, Vernon",1856.0,1935.0,['en'],36,"'Boiardo, Matteo Maria, 1440 or 1441-1494', 'English drama -- Early modern and Elizabethan, 1500-1600 -- History and criticism', 'Renaissance -- Italy', 'Civilization, Medieval', 'Epic poetry, Italian -- History and criticism', 'Love'",Text,'Epic poetry
1502,PG31314,The Trumpeter of Säkkingen: A Song from the Upper Rhine.,"Scheffel, Joseph Victor von",1826.0,1886.0,['en'],47,"'Epic poetry, German -- Translations into English'",Text,'Epic poetry
