,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,tag
1052,PG24036,Sonnet 130,"Shakespeare, William",1564.0,1616.0,['en'],70,"'Shakespeare, William, 1564-1616. Sonnets. No. 130', 'Love poetry', 'English poetry', 'Sonnets, English'",Sound,'English poetry'
1081,PG24334,"Collected Poems in Two Volumes, Vol. II","Dobson, Austin",1840.0,1921.0,['en'],116,'English poetry',Text,'English poetry'
1083,PG24363,"The Song of the Sword, and Other Verses","Henley, William Ernest",1849.0,1903.0,['en'],42,'English poetry',Text,'English poetry'
1084,PG24364,"The Defeat of Youth, and Other Poems","Huxley, Aldous",1894.0,1963.0,['en'],62,'English poetry',Text,'English poetry'
1085,PG24405,Poems: New and Old,"Newbolt, Henry John, Sir",1862.0,1938.0,['en'],27,'English poetry',Text,'English poetry'
1141,PG25340,The Works of Lord Byron. Vol. 2,"Byron, George Gordon Byron, Baron",1788.0,1824.0,['en'],185,'English poetry',Text,'English poetry'
1142,PG25426,"Broad Grins: Comprising, With New Additional Tales in Verse, Those; Formerly Publish'd Under the Title ""My Night-Gown and; Slippers.""","Colman, George",1762.0,1836.0,['en'],29,'English poetry',Text,'English poetry'
1144,PG25455,The Song of the Flag: A National Ode,"Mackay, Eric",1851.0,1898.0,['en'],29,'English poetry',Text,'English poetry'
1198,PG2619,The Home Book of Verse — Volume 1,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],75,"""Children's poetry"", 'English poetry', 'American poetry'",Text,'English poetry'
1202,PG2620,The Home Book of Verse — Volume 2,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],173,"""Children's poetry"", 'English poetry', 'American poetry'",Text,'English poetry'
1205,PG2621,The Home Book of Verse — Volume 3,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],95,"""Children's poetry"", 'English poetry', 'American poetry'",Text,'English poetry'
1209,PG2622,The Home Book of Verse — Volume 4,"Stevenson, Burton Egbert",1872.0,1962.0,['en'],141,"""Children's poetry"", 'English poetry', 'American poetry'",Text,'English poetry'
1217,PG26288,To His Coy Mistress,"Marvell, Andrew",1621.0,1678.0,['en'],68,'English poetry',Sound,'English poetry'
1218,PG262,The Collected Poems of Rupert Brooke,"Brooke, Rupert",1887.0,1915.0,['en'],483,"'Poets, English -- 20th century -- Biography', 'English poetry', 'Brooke, Rupert, 1887-1915'",Text,'English poetry'
1256,PG26787,"Alf the Freebooter, Little Danneved and Swayne Trost, and Other Ballads",,,,['en'],29,"'Ballads', 'English poetry'",Text,'English poetry'
1257,PG26788,"Brown William, The Power of the Harp, and Other Ballads",,,,['en'],14,"'Ballads', 'English poetry'",Text,'English poetry'
1259,PG26790,"The Brother Avenged, and Other Ballads",,,,['en'],20,"'Ballads', 'English poetry'",Text,'English poetry'
1260,PG26791,Ermeline: a ballad,,,,['en'],17,'English poetry',Text,'English poetry'
1261,PG26792,"Grimmer and Kamper, The End of Sivard Snarenswayne, and Other Ballads",,,,['en'],20,"'Ballads', 'English poetry'",Text,'English poetry'
1262,PG26793,"The Expedition to Birting's Land, and Other Ballads",,,,['en'],22,"'Ballads', 'English poetry'",Text,'English poetry'
1266,PG26802,"King Diderik and the fight between the Lion and Dragon, and Other Ballads",,,,['en'],16,"'Ballads', 'English poetry'",Text,'English poetry'
1267,PG26803,"King Hacon's Death, and Bran and the Black Dog: Two Ballads",,,,['en'],14,"'Ballads', 'English poetry'",Text,'English poetry'
1268,PG26805,Little Engel: a ballad; with a series of epigrams from the Persian,,,,['en'],20,'English poetry',Text,'English poetry'
1269,PG26831,Marsk Stig: a ballad,,,,['en'],34,'English poetry',Text,'English poetry'
1270,PG26832,"Marsk Stig's Daughters, and Other Songs and Ballads",,,,['en'],19,"'Ballads', 'English poetry'",Text,'English poetry'
1271,PG26833,"Niels Ebbesen, and Germand Gladenswayne: Two Ballads",,,,['en'],19,"'Ballads', 'English poetry'",Text,'English poetry'
1272,PG26834,"The Nightingale, the Valkyrie and Raven, and Other Ballads",,,,['en'],26,"'Ballads', 'English poetry'",Text,'English poetry'
1310,PG27396,"Proud Signild, and Other Ballads",,,,['en'],17,"'Ballads', 'English poetry'",Text,'English poetry'
1311,PG27401,Poems & Ballads (Second Series): Swinburne's Poems Volume III,"Swinburne, Algernon Charles",1837.0,1909.0,['en'],51,"'Ballads, English', 'English poetry'",Text,'English poetry'
1312,PG27405,"Ulf Van Yern, and Other Ballads",,,,['en'],33,"'Ballads', 'English poetry'",Text,'English poetry'
1313,PG27406,Axel Thordson and Fair Valborg: a ballad,,,,['en'],16,'English poetry',Text,'English poetry'
1314,PG27407,"The Return of the Dead, and Other Ballads",,,,['en'],20,"'Ballads', 'English poetry'",Text,'English poetry'
1315,PG27408,"Mollie Charane, and Other Ballads",,,,['en'],12,"'Ballads', 'English poetry'",Text,'English poetry'
1316,PG27409,"The King's Wake, and Other Ballads","Borrow, George",1803.0,1881.0,['en'],17,"'Ballads', 'English poetry'",Text,'English poetry'
1349,PG28041,Selections from the Poems and Plays of Robert Browning,"Browning, Robert",1812.0,1889.0,['en'],76,"'Drama', 'English poetry', 'Poetry -- Collections'",Text,'English poetry'
1364,PG28591,Poems with Power to Strengthen the Soul,,,,['en'],68,'English poetry',Text,'English poetry'
1368,PG2863,"Satires of Circumstance, Lyrics and Reveries, with Miscellaneous Pieces","Hardy, Thomas",1840.0,1928.0,['en'],135,'English poetry',Text,'English poetry'
1430,PG2997,"Time's Laughingstocks, and Other Verses","Hardy, Thomas",1840.0,1928.0,['en'],40,'English poetry',Text,'English poetry'
1444,PG30235,Six Centuries of English Poetry: Tennyson to Chaucer,"Baldwin, James",1841.0,1925.0,['en'],63,'English poetry',Text,'English poetry'
1459,PG3039,Forty-Two Poems,"Flecker, James Elroy",1884.0,1915.0,['en'],45,'English poetry',Text,'English poetry'
1480,PG30730,The Hound of Heaven,"Thompson, Francis",1859.0,1907.0,['en'],411,'English poetry',Text,'English poetry'
1494,PG31184,Poems,"Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,['en'],161,'English poetry',Text,'English poetry'
1527,PG3167,Wessex Poems and Other Verses,"Hardy, Thomas",1840.0,1928.0,['en'],159,'English poetry',Text,'English poetry'
1528,PG3168,Poems of the Past and the Present,"Hardy, Thomas",1840.0,1928.0,['en'],230,'English poetry',Text,'English poetry'
1560,PG32145,"The Poetical Works of William Lisle Bowles, Vol. 2","Bowles, William Lisle",1762.0,1850.0,['en'],45,'English poetry',Text,'English poetry'
1563,PG32167,"The Ballad of St. Barbara, and Other Verses","Chesterton, G. K. (Gilbert Keith)",1874.0,1936.0,['en'],89,'English poetry',Text,'English poetry'
1570,PG32262,English Verse: Specimens Illustrating its Principles and History,"Alden, Raymond MacDonald",1873.0,1924.0,['en'],92,"'English language -- Versification', 'English poetry'",Text,'English poetry'
1571,PG32275,"The Bankrupt; Or, Advice to the Insolvent.: A Poem, addressed to a friend, with other pieces","Parkerson, James",,,['en'],15,'English poetry',Text,'English poetry'
1572,PG32276,"Poetical Works: Comprising Elegies, Sketches from Life, Pathetic, and Extempore Pieces","Parkerson, James",,,['en'],26,'English poetry',Text,'English poetry'
1573,PG32277,"Characters from Life; Or, Moral Hints. In Verse","Parkerson, James",,,['en'],16,'English poetry',Text,'English poetry'
1580,PG32373,The Golden Treasury: Selected from the Best Songs and Lyrical Poems in the English Language and arranged with Notes,,,,['en'],102,"'English poetry', 'Songs, English -- Texts'",Text,'English poetry'
1607,PG3255,Moments of Vision and Miscellaneous Verses,"Hardy, Thomas",1840.0,1928.0,['en'],72,"'World War, 1914-1918 -- Poetry', 'English poetry'",Text,'English poetry'
1612,PG32772,Rewards and Fairies,"Kipling, Rudyard",1865.0,1936.0,['en'],50,"'Puck (Legendary character) -- Fiction', 'English poetry', 'Short stories, English'",Text,'English poetry'
1627,PG33156,"Young's Night Thoughts: With Life, Critical Dissertation and Explanatory Notes","Young, Edward",1683.0,1765.0,['en'],468,"'Didactic poetry, English', 'English poetry'",Text,'English poetry'
1635,PG33456,"An Address to a Wealthy Libertine: or, the Melancholy Effects of Seduction; with a Letter from an Unfortunate Farmer's Daughter, to her Parents in Norfolk","Parkerson, James",,,['en'],34,'English poetry',Text,'English poetry'
